Year,Sex,State,Number_of_teachers
2012,Male,Pulau Pinang,2439
2012,Male,Sabah ,6180
2012,Male,Sarawak,6016
2012,Male,Selangor,4886
2012,Male,Terengganu,3306
2012,Male,W.P. Kuala Lumpur,1579
2012,Male,W.P. Labuan,219
2012,Male,W.P. Putrajaya,102
2013,Female,Malaysia,122378
2013,Female,Johor,14673
2013,Female,Kedah,9057
2013,Female,Kelantan,7765
2013,Female,Melaka,4085
2013,Female,Negeri Sembilan,5533
2013,Female,Pahang,7267
2013,Female,Perak,11859
2013,Female,Perlis,1390
2013,Female,Pulau Pinang,6931
2013,Female,Sabah ,8881
2013,Female,Sarawak,9353
2013,Female,Selangor,21265
2013,Female,Terengganu,6674
2013,Female,W.P. Kuala Lumpur,6688
2013,Female,W.P. Labuan,378
2013,Female,W.P. Putrajaya,579
2013,Male,Malaysia,55433
2013,Male,Johor,6353
2013,Male,Kedah,4686
2013,Male,Kelantan,5096
2013,Male,Melaka,1848
2013,Male,Negeri Sembilan,2183
2013,Male,Pahang,3721
2013,Male,Perak,6056
2013,Male,Perlis,831
2013,Male,Pulau Pinang,2566
2013,Male,Sabah ,6136
2013,Male,Sarawak,6007
2013,Male,Selangor,4780
2013,Male,Terengganu,3285
2013,Male,W.P. Kuala Lumpur,1568
2013,Male,W.P. Labuan,212
2013,Male,W.P. Putrajaya,105
2014,Female,Malaysia,125291
2014,Female,Johor,14853
2014,Female,Kedah,9181
2014,Female,Kelantan,7782
2014,Female,Melaka,4219
2014,Female,Negeri Sembilan,5726
2014,Female,Pahang,7524
2014,Female,Perak,11975
2014,Female,Perlis,1417
2014,Female,Pulau Pinang,7018
2014,Female,Sabah ,9498
2014,Female,Sarawak,9681
2014,Female,Selangor,21862
2014,Female,Terengganu,6754
2014,Female,W.P. Kuala Lumpur,6767
2014,Female,W.P. Labuan,409
2014,Female,W.P. Putrajaya,625
2014,Male,Malaysia,54933
2014,Male,Johor,6175
2014,Male,Kedah,4630
2014,Male,Kelantan,5035
2014,Male,Melaka,1825
2014,Male,Negeri Sembilan,2164
2014,Male,Pahang,3803
2014,Male,Perak,6022
2014,Male,Perlis,842
2014,Male,Pulau Pinang,2515
2014,Male,Sabah ,6147
2014,Male,Sarawak,5858
2014,Male,Selangor,4780
2014,Male,Terengganu,3242
2014,Male,W.P. Kuala Lumpur,1550
2014,Male,W.P. Labuan,223
2014,Male,W.P. Putrajaya,122
2015,Female,Malaysia,127132
2015,Female,Johor,15235
2015,Female,Kedah,9507
2015,Female,Kelantan,7871
2015,Female,Melaka,4302
2015,Female,Negeri Sembilan,5832
2015,Female,Pahang,7527
2015,Female,Perak,12092
2015,Female,Perlis,1452
2015,Female,Pulau Pinang,7007
2015,Female,Sabah ,9677
2015,Female,Sarawak,9980
2015,Female,Selangor,21960
2015,Female,Terengganu,6850
2015,Female,W.P. Kuala Lumpur,6776
2015,Female,W.P. Labuan,422
2015,Female,W.P. Putrajaya,642
2015,Male,Malaysia,54843
2015,Male,Johor,6198
2015,Male,Kedah,4671
2015,Male,Kelantan,4938
2015,Male,Melaka,1837
2015,Male,Negeri Sembilan,2157
2015,Male,Pahang,3765
2015,Male,Perak,5917
2015,Male,Perlis,841
2015,Male,Pulau Pinang,2443
2015,Male,Sabah ,6246
2015,Male,Sarawak,5873
2015,Male,Selangor,4831
2015,Male,Terengganu,3223
2015,Male,W.P. Kuala Lumpur,1550
2015,Male,W.P. Labuan,239
2015,Male,W.P. Putrajaya,114
